CO,CO2,Kategori
348,105,Berbahaya
143,147,Tidak Sehat
113,28,Tidak Sehat
276,342,Berbahaya
360,117,Berbahaya
212,294,Sangat Tidak Sehat
490,11,Berbahaya
342,337,Berbahaya
240,386,Berbahaya
196,480,Berbahaya
172,225,Sangat Tidak Sehat
365,420,Berbahaya
219,403,Berbahaya
30,385,Berbahaya
199,14,Tidak Sehat
369,242,Berbahaya
91,291,Sangat Tidak Sehat
88,334,Berbahaya
266,499,Berbahaya
266,423,Berbahaya
317,241,Berbahaya
425,29,Berbahaya
362,488,Berbahaya
306,490,Berbahaya
361,327,Berbahaya
161,258,Sangat Tidak Sehat
181,385,Berbahaya
114,276,Sangat Tidak Sehat
147,400,Berbahaya
315,63,Berbahaya
46,277,Sangat Tidak Sehat
217,230,Sangat Tidak Sehat
215,296,Sangat Tidak Sehat
247,14,Sangat Tidak Sehat
213,151,Sangat Tidak Sehat
156,293,Sangat Tidak Sehat
213,493,Berbahaya
447,197,Berbahaya
472,134,Berbahaya
251,395,Berbahaya
312,157,Berbahaya
58,408,Berbahaya
159,447,Berbahaya
207,361,Berbahaya
433,81,Berbahaya
125,71,Tidak Sehat
242,396,Berbahaya
493,342,Berbahaya
260,177,Sangat Tidak Sehat
306,41,Berbahaya
60,138,Tidak Sehat
413,37,Berbahaya
302,362,Berbahaya
273,100,Sangat Tidak Sehat
171,184,Tidak Sehat
152,488,Berbahaya
209,176,Sangat Tidak Sehat
341,470,Berbahaya
438,443,Berbahaya
255,157,Sangat Tidak Sehat
335,98,Berbahaya
293,8,Sangat Tidak Sehat
312,252,Berbahaya
337,300,Berbahaya
421,154,Berbahaya
42,49,Baik
382,212,Berbahaya
122,417,Berbahaya
97,479,Berbahaya
286,473,Berbahaya
48,163,Tidak Sehat
443,426,Berbahaya
314,356,Berbahaya
362,55,Berbahaya
8,65,Sedang
297,29,Sangat Tidak Sehat
278,193,Sangat Tidak Sehat
79,113,Tidak Sehat
77,151,Tidak Sehat
348,427,Berbahaya
159,231,Sangat Tidak Sehat
346,306,Berbahaya
277,271,Sangat Tidak Sehat
194,477,Berbahaya
463,206,Berbahaya
421,308,Berbahaya
179,343,Berbahaya
22,389,Berbahaya
152,274,Sangat Tidak Sehat
199,414,Berbahaya
352,110,Berbahaya
498,12,Berbahaya
178,357,Berbahaya
381,75,Berbahaya
297,424,Berbahaya
346,55,Berbahaya
76,37,Sedang
199,242,Sangat Tidak Sehat
120,123,Tidak Sehat
172,387,Berbahaya
257,126,Sangat Tidak Sehat
333,219,Berbahaya
53,232,Sangat Tidak Sehat
65,30,Sedang
161,289,Sangat Tidak Sehat
331,329,Berbahaya
423,232,Berbahaya
277,350,Berbahaya
427,156,Berbahaya
192,33,Tidak Sehat
158,476,Berbahaya
177,123,Tidak Sehat
86,469,Berbahaya
415,403,Berbahaya
169,311,Berbahaya
276,499,Berbahaya
289,95,Sangat Tidak Sehat
261,468,Berbahaya
1,355,Berbahaya
494,299,Berbahaya
453,444,Berbahaya
104,341,Berbahaya
146,388,Berbahaya
260,22,Sangat Tidak Sehat
451,444,Berbahaya
492,269,Berbahaya
129,169,Tidak Sehat
282,239,Sangat Tidak Sehat
403,30,Berbahaya
197,112,Tidak Sehat
366,416,Berbahaya
81,462,Berbahaya
300,169,Berbahaya
433,399,Berbahaya
492,150,Berbahaya
40,22,Baik
214,250,Sangat Tidak Sehat
102,352,Berbahaya
225,111,Sangat Tidak Sehat
274,162,Sangat Tidak Sehat
47,70,Sedang
148,455,Berbahaya
464,420,Berbahaya
285,194,Sangat Tidak Sehat
229,283,Sangat Tidak Sehat
377,317,Berbahaya
371,305,Berbahaya
24,310,Berbahaya
354,260,Berbahaya
420,391,Berbahaya
83,74,Sedang
390,99,Berbahaya
143,364,Berbahaya
153,490,Berbahaya
333,369,Berbahaya
56,35,Sedang
332,270,Berbahaya
444,184,Berbahaya
348,355,Berbahaya
220,451,Berbahaya
219,10,Sangat Tidak Sehat
383,398,Berbahaya
283,19,Sangat Tidak Sehat
42,293,Sangat Tidak Sehat
291,438,Berbahaya
407,54,Berbahaya
169,500,Berbahaya
464,46,Berbahaya
375,441,Berbahaya
287,176,Sangat Tidak Sehat
376,7,Berbahaya
40,177,Tidak Sehat
430,489,Berbahaya
411,473,Berbahaya
455,95,Berbahaya
64,265,Sangat Tidak Sehat
41,459,Berbahaya
69,438,Berbahaya
200,306,Berbahaya
212,358,Berbahaya
281,265,Sangat Tidak Sehat
61,271,Sangat Tidak Sehat
101,456,Berbahaya
406,363,Berbahaya
234,84,Sangat Tidak Sehat
404,349,Berbahaya
4,121,Tidak Sehat
276,466,Berbahaya
466,19,Berbahaya
291,102,Sangat Tidak Sehat
103,180,Tidak Sehat
359,170,Berbahaya
189,91,Tidak Sehat
334,350,Berbahaya
15,396,Berbahaya
318,370,Berbahaya
16,17,Baik
372,395,Berbahaya
236,187,Sangat Tidak Sehat
61,100,Sedang
271,464,Berbahaya
33,331,Berbahaya
327,447,Berbahaya
498,219,Berbahaya
385,3,Berbahaya
287,244,Sangat Tidak Sehat
51,90,Sedang
350,271,Berbahaya
331,73,Berbahaya
25,429,Berbahaya
396,200,Berbahaya
